Gene	Index	Chromosome	Strand	Start	End	GSM1820357	GSM1820358	GSM1820359	GSM1820360	GSM1820361	GSM1820362	GSM1820363	GSM1820364	GSM1820365	GSM1820366	GSM1820367	GSM1820368	GSM1820369	GSM1820370	GSM1820371	GSM1820372	GSM1820373	GSM1820374	GSM1820375	GSM1820376	GSM1820377	GSM1820378	GSM1820379	GSM1820380	GSM1820381	GSM1820382	GSM1820383	GSM1820384	GSM1820385	GSM1820386	GSM1820387	GSM1820388	GSM1820389	GSM1820390	GSM1820391	GSM1820392	GSM1820393	GSM1820394	GSM1820395	GSM1820396	GSM1820397	GSM1820398	GSM1820399	GSM1820400	GSM1820401	GSM1820402	GSM1820403	GSM1820404	GSM1820405	GSM1820406	GSM1820407	GSM1820408	GSM1820409	GSM1820410	GSM1820411	GSM1820412	GSM1820413	GSM1820414	GSM1820415	GSM1820416	GSM1820417	GSM1820418	GSM1820419	GSM1820420	GSM1820421	GSM1820422	GSM1820423	GSM1820424	GSM1820425	GSM1820426	GSM1820427	GSM1820428	GSM1820429	GSM1820430	GSM1820431	GSM1820432	GSM1820433	GSM1820434	GSM1820435	GSM1820436	GSM1820437	GSM1820438	GSM1820439
Hba-a1	1	11	+	32283511	32283801	1098.8776386988955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4766.18030739082	0.0	0.0	596.3257514224207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.987630208333333	0.0	3.987630208333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2312.316575764175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.987630208333333	0.0	0.0	0.0	0.0	0.0	0.0	476.3791100838358	0.0	0.0	0.0	0.0	0.0	3.999255952380952	0.0	0.0	0.0	10260.847947025475	0.0	0.0	0.0	4.0283203125	0.0	0.0	0.0	551.7270885077253	0.0	0.0	0.0	0.0	0.0	62585.08717727945	0.0
Hba-a1	2a	11	+	32283811	32283924	109.19541074387033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.73470543760618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.47094562038292	0.0
Hba-a1	2b	11	+	32283924	32284128	2956.598969014016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.88966318234613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.37515193258244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	234.45726307926097	0.23228803716608595	0.0	0.0	0.0	764.4603481670232	134.67437688063197	0.0	0.0	18.779637970595733	0.0	0.0	0.0	0.0	0.0	0.2501563477173233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.80371660859466	0.0	0.0	0.0	0.0	321.0767233722757	4.320557491289199	0.0	0.0	0.0	1143.4363471695392	0.0	5.009887936717205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25226.719417122004	8.594657375145179
Hba-a1	3a	11	+	32284263	32284438	2519.68862449718	0.8116883116883117	4.971590909090909	0.0	0.0	0.0	0.0	0.0	0.0	330.6198237593598	1251.2226472751606	422.8232964470702	3096.148994480916	5.853994490358127	23.26839826839827	69.89603260003187	15.61147186147186	0.0	1808.8395819289324	1275.2891139243877	0.0	26.29555521997382	0.0	291.4208859917099	175.0726897866363	0.0	122.20321862090158	461.95246522193986	0.0	250.35908237294797	0.0	0.0	0.0	0.0	429.9515878138048	11.093073593073592	135.9241481885606	0.0	0.0	17.454598247281172	622.4765640655953	993.0590588608271	22.208169737239505	177.8803880190737	406.99764250900614	5.844155844155844	0.0	634.6332971562749	0.0	149.83922062657206	5.275974025974026	22.067775974025974	32.46753246753247	270.9389798205588	0.0	0.0	5.844155844155844	12.987012987012987	0.0	3.171247357293869	14.758449237384935	0.0	141.7589763177998	0.8116883116883117	0.0	0.0	32.39492962268001	121.69503601304457	0.0	0.0	23.26839826839827	5.817099567099567	338.90048567469097	181.38877770644038	0.0	0.0	69.99877691829602	0.0	501.3999326641152	70.18716577540106	5.728011825572801	27752.629587594696	24.89177489177489
Hba-a1	3b	11	+	32284438	32284465	1665.5870593889151	66.66666666666667	116.66666666666667	0.0	0.0	0.0	0.0	0.0	0.0	1161.976287069919	337.6984126984127	802.2739703989703	2190.5082990581654	226.98082698082703	0.0	363.3531746031746	38.095238095238095	0.0	677.4850517129929	3197.9668376263576	0.0	57.14285714285714	0.0	638.2782377832592	0.0	0.0	0.0	1508.5714285714284	0.0	290.5953925107151	0.0	0.0	532.7359239239648	0.0	0.0	0.0	343.9683586025049	50.0	0.0	174.67199693792926	1095.3731609087938	190.47619047619042	78.43023255813954	69.88636363636364	60.26785714285714	235.23809523809524	0.0	0.0	0.0	19.047619047619047	101.63690476190476	137.77254249815223	57.14285714285714	434.13533108655065	0.0	0.0	1129.7584541062802	0.0	0.0	48.83720930232558	215.0220189701897	0.0	41.1764705882353	0.0	0.0	0.0	661.8477479404554	208.65800865800867	0.0	0.0	173.4280303030303	0.0	578.5714285714286	243.88819357530247	0.0	118.86608015640273	0.0	0.0	440.5923344947733	0.0	403.25203252032514	3676.2106248606847	311.16883116883116
Hba-a2	1	11	+	32296489	32296618	2961.18605796755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12399.863024802264	0.0	0.0	1606.9409722541022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.868421052631579	0.0	9.868421052631579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6231.084667322409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.868421052631579	0.0	0.0	0.0	0.0	0.0	0.0	1283.7163387522312	0.0	0.0	0.0	0.0	0.0	10.776942355889723	0.0	0.0	0.0	26671.85320374711	0.0	0.0	0.0	10.855263157894738	0.0	0.0	0.0	1452.6315789473686	0.0	0.0	0.0	0.0	0.0	167590.45014008103	0.0
Hba-a2	2a	11	+	32296628	32296741	109.19541074387033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.73470543760618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.47094562038292	0.0
Hba-a2	2b	11	+	32296741	32296945	2956.598969014016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.88966318234613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.37515193258244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	234.45726307926097	0.23228803716608595	0.0	0.0	0.0	764.4603481670232	134.67437688063197	0.0	0.0	18.779637970595733	0.0	0.0	0.0	0.0	0.0	0.2501563477173233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.80371660859466	0.0	0.0	0.0	0.0	321.0767233722757	4.320557491289199	0.0	0.0	0.0	1143.4363471695392	0.0	5.009887936717205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25226.719417122004	8.594657375145179
Hba-a2	3a	11	+	32297080	32297255	1851.130265061467	0.8116883116883117	4.971590909090909	0.0	0.0	0.0	0.0	0.0	0.0	330.6198237593598	1251.2226472751606	789.4653743817618	2008.4944906036153	5.853994490358127	23.26839826839827	69.89603260003187	15.61147186147186	0.0	1477.3880568672325	130.14352968864773	0.0	26.29555521997382	0.0	291.4208859917099	186.82192539950827	52.3538961038961	122.20321862090158	461.95246522193986	0.0	250.35908237294797	0.0	0.0	0.0	0.0	429.9515878138048	11.093073593073592	71.8991580272068	0.0	0.0	17.454598247281172	622.4765640655953	993.0590588608271	22.208169737239505	177.8803880190737	121.90205627705626	5.844155844155844	0.0	93.66604072849235	0.0	149.83922062657206	5.275974025974026	22.067775974025974	32.46753246753247	270.9389798205588	0.0	0.0	0.0	12.987012987012987	0.0	3.171247357293869	14.758449237384935	0.0	141.7589763177998	0.8116883116883117	0.0	0.0	32.39492962268001	121.69503601304457	0.0	0.0	23.26839826839827	5.817099567099567	338.90048567469097	181.38877770644038	0.0	0.0	69.99877691829602	0.0	501.3999326641152	70.18716577540106	5.728011825572801	19146.820188839636	24.89177489177489
Hba-a2	3b	11	+	32297255	32297298	2008.75965936289	90.47619047619047	120.83333333333331	0.0	0.0	0.0	0.0	0.0	0.0	1309.9976774442503	505.15873015873024	1232.6600707850707	2928.8712300527022	399.9752014457897	0.0	606.8849206349206	38.095238095238095	0.0	931.3891133376428	4029.097685723314	0.0	57.14285714285714	0.0	897.628968353502	0.0	0.0	0.0	1508.5714285714284	0.0	502.15500225580877	0.0	0.0	898.1897200622614	0.0	0.0	0.0	487.7154157641962	97.05882352941177	0.0	296.17241159334003	1095.3731609087938	190.47619047619042	118.43023255813954	74.43181818181819	110.26785714285714	308.96358543417375	0.0	0.0	0.0	19.047619047619047	197.35119047619048	216.1908721359941	57.14285714285714	718.0536174438614	0.0	0.0	1631.7632850241544	0.0	0.0	48.83720930232558	265.02201897018966	0.0	41.1764705882353	0.0	0.0	0.0	688.514414607122	223.80952380952382	0.0	0.0	309.4886363636363	0.0	616.6666666666666	298.4094701710472	0.0	206.25610948191593	0.0	0.0	440.5923344947733	0.0	527.9907084785134	4135.604564254626	505.48701298701303
