	CellType	Reads (M)	Aligned reads (M)	Alignment rate (%)	Gene count (K)	Isoform count (K)
GSM2975807	B_Lymph	0.118346	0.030731	25.967079580213948	2.442	3.174
GSM2975808	B_Lymph	0.05212	0.019718	37.831926323868	2.077	2.617
GSM2975809	B_Lymph	0.129368	0.027678	21.394780780409373	2.579	3.334
GSM2975810	B_Lymph	0.323419	0.073884	22.844668989762507	4.521	6.443
GSM2975811	B_Lymph	0.161771	0.036147	22.34454877573854	2.647	3.462
GSM2975812	B_Lymph	0.137456	0.034201	24.881416598766155	2.803	3.63
GSM2975813	B_Lymph	0.088917	0.026362	29.64787385989181	2.764	3.563
GSM2975814	B_Lymph	0.091697	0.024643	26.874379750700676	2.501	3.236
GSM2975815	B_Lymph	0.115797	0.04802	41.469122688843406	3.321	4.311
GSM2975816	B_Lymph	0.096371	0.025715	26.683338348673352	2.616	3.348
GSM2975817	B_Lymph	0.041291	0.016019	38.795379138311006	1.802	2.276
GSM2975818	B_Lymph	0.108485	0.031988	29.48610406968706	2.792	3.665
GSM2975819	B_Lymph	0.047639	0.017306	36.32737882827095	1.933	2.368
GSM2975820	B_Lymph	0.123683	0.034713	28.06610447676722	3.143	4.137
GSM2975821	B_Lymph	0.057767	0.022963	39.75106894940018	2.205	2.811
GSM2975822	B_Lymph	0.115981	0.027867	24.027211353583777	2.558	3.322
GSM2975823	B_Lymph	0.078091	0.025248	32.33151067344509	2.519	3.162
GSM2975824	B_Lymph	0.127805	0.03345	26.172684949728104	2.921	3.836
GSM2975825	B_Lymph	0.0537	0.017489	32.567970204841714	1.923	2.374
GSM2975826	B_Lymph	0.137385	0.031777	23.129890453834115	2.645	3.373
GSM2975827	B_Lymph	0.074976	0.026631	35.519366197183096	2.426	3.022
GSM2975828	B_Lymph	0.07797	0.03522	45.171219699884574	2.85	3.666
GSM2975829	B_Lymph	0.080041	0.02658	33.207980909783736	2.522	3.177
GSM2975830	B_Lymph	0.106897	0.034668	32.43121883682423	2.908	3.821
GSM2975831	B_Lymph	0.054813	0.024323	44.37450969660482	2.444	3.094
GSM2975832	B_Lymph	0.139772	0.042023	30.06539221017085	3.384	4.587
GSM2975834	B_Lymph	0.053885	0.016397	30.429618632272426	1.888	2.383
GSM2975835	B_Lymph	0.039916	0.01678	42.03828038881651	1.828	2.268
GSM2975836	B_Lymph	0.063965	0.018883	29.520831704838585	2.113	2.69
GSM2975838	B_Lymph	0.094896	0.025812	27.200303490136573	2.619	3.374
GSM2975840	B_Lymph	0.074345	0.019005	25.56325240433116	2.148	2.649
GSM2975841	B_Lymph	0.04467	0.0201	44.99664204163868	1.997	2.516
GSM2975842	B_Lymph	0.064873	0.022418	34.55674934102015	2.602	3.293
GSM2975844	B_Lymph	0.097332	0.026943	27.68154358278881	2.63	3.362
GSM2975845	B_Lymph	0.092226	0.030749	33.34092338386138	2.603	3.41
GSM2975846	B_Lymph	0.0961	0.025866	26.915712799167537	2.527	3.239
GSM2975847	B_Lymph	0.068465	0.024875	36.33243262981086	2.375	3.098
GSM2975848	B_Lymph	0.234504	0.045846	19.550199570156586	3.295	4.463
GSM2975849	EryB	0.468248	0.157691	33.67681228750576	5.031	7.128
GSM2975850	EryB	0.148039	0.080962	54.689642594181265	2.546	3.35
