	CellType	Reads (M)	Aligned reads (M)	Alignment rate (%)	Gene count (K)	Isoform count (K)
GSM2656741	Pvalb.C1ql1.Pvalb	0.136041	0.066727	49.0491837019722	3.257	4.181
GSM2656743	Calb2.Vip.Nos1	0.147946	0.075413	50.97332810620091	3.187	4.158
GSM2656749	Sst.Nos1	0.261945	0.134159	51.21647674130065	4.364	5.873
GSM2656751	Cacna2d1.Ndnf.Npy	0.246397	0.129462	52.54203582024132	4.346	5.813
GSM2656770	Cacna2d1.Lhx6.Reln	0.205362	0.10969	53.412997536058285	4.046	5.425
GSM2656788	Cacna2d1.Lhx6.Reln	0.131333	0.065591	49.94251254444808	2.866	3.678
GSM2656797	Calb2.Cryab	0.050261	0.024987	49.71449036031913	1.414	1.776
GSM2656804	Calb2.Cryab	0.101518	0.047539	46.82814870269312	2.456	3.167
GSM2656809	Cacna2d1.Lhx6.Reln	0.206877	0.12226	59.097918086592514	3.693	4.945
GSM2656829	Calb2.Vip.Nos1	0.074359	0.037983	51.0805685929074	1.974	2.517
GSM2656831	Calb2.Vip.Gpd1	0.131031	0.058913	44.961116071769275	2.83	3.672
GSM2656835	Cacna2d1.Lhx6.Reln	0.150995	0.084075	55.68065167720786	3.13	4.132
GSM2656836	Sst.Npy.Serpine2	0.364655	0.191176	52.42654015439251	5.522	7.48
GSM2656837	Pvalb.C1ql1.Pvalb	0.295039	0.171227	58.03537837370653	4.582	6.24
GSM2656842	Cck.Cxcl14.Calb1.Kctd12	0.309324	0.16786	54.26672356493515	4.714	6.454
GSM2656850	Pvalb.Tac1.Sst	0.21268	0.112042	52.681023133345874	4.014	5.355
GSM2656852	Cacna2d1.Lhx6.Reln	0.133829	0.069848	52.191976328000656	2.854	3.753
GSM2656855	Pvalb.C1ql1.Cpne5	0.265761	0.130328	49.0395505736357	4.601	6.166
GSM2656867	Sst.Pnoc.Calb1.Pvalb	0.281434	0.148639	52.81486956089171	4.607	6.247
GSM2656868	Ntng1.Synpr	0.174964	0.089345	51.06479047118264	3.414	4.429
GSM2656869	Calb2.Vip.Igfbp4	0.224185	0.117993	52.63197805383947	4.035	5.424
GSM2656870	Cacna2d1.Lhx6.Reln	0.223332	0.111239	49.808804828685545	4.279	5.636
GSM2656892	Cck.Calca	0.251887	0.144769	57.47378784931338	4.18	5.618
GSM2656894	Calb2.Cntnap5a.Rspo3	0.078641	0.03797	48.28270240714131	2.041	2.571
GSM2656896	Pvalb.Tac1.Syt2	0.262661	0.138001	52.53958524485935	4.68	6.255
GSM2656900	Cacna2d1.Ndnf.Cxcl14	0.172238	0.085201	49.46701657009487	3.577	4.701
GSM2656903	Cacna2d1.Lhx6.Reln	0.12658	0.05926	46.81624269236846	2.808	3.652
GSM2656905	Cck.Lmo1.Npy	0.366639	0.185996	50.73000962799921	5.601	7.58
GSM2656924	Sst.Npy.Serpine2	0.122775	0.062194	50.65689268987986	2.81	3.678
